project_id,client_age,client_gender,project_budget,project_duration,num_rooms,design_style,location,client_satisfaction,designer_experience,num_designers,material_quality,furniture_cost,lighting_cost,decor_cost,renovation_cost,project_completion_time,num_meetings,client_feedback,material_availability,designer_rating,project_rating,design_approval_time,issues_encountered,total_cost
1,63.0,Male,64042.0,16,7,Eclectic,Urban,9.0,3.0,1,High,15178,8964,1277,3364,22,1,Negative,Not available,3,5,2,No,197451.0
2,53.0,Female,23099.0,23,8,Contemporary,Rural,1.0,10.0,1,Medium,11629,7469,3761,17568,12,15,Positive,Not available,3,5,1,Yes,14347.0
3,39.0,Other,50096.0,10,4,Minimalist,Urban,2.0,19.0,1,Low,19395,1650,2117,39092,8,12,Positive,Not available,2,3,5,Yes,
4,32.0,Male,76986.0,18,3,Contemporary,Suburban,3.0,8.0,2,High,15751,7954,3984,6483,10,7,Positive,Available,5,1,5,No,195087.0
5,45.0,Male,,6,5,Traditional,Rural,4.0,7.0,3,Low,1425,5707,4358,1245,16,7,Positive,Scarce,1,3,2,Yes,94129.0
6,,Male,34009.0,19,9,Traditional,Rural,10.0,1.0,3,Medium,4044,518,6868,9430,20,11,Positive,Scarce,1,1,4,No,186253.0
7,43.0,Other,75969.0,4,6,Contemporary,Rural,9.0,12.0,4,Low,12480,3678,2934,9183,8,11,Positive,Not available,3,1,4,Yes,154832.0
8,47.0,Female,38866.0,13,9,Traditional,Rural,,5.0,4,Low,12106,6077,5201,39692,9,17,Negative,Available,1,4,1,No,97103.0
9,35.0,Male,,14,6,Traditional,Urban,6.0,16.0,2,Medium,7229,4581,5929,31086,13,3,Positive,Scarce,2,3,3,Yes,82599.0
10,35.0,Other,81975.0,3,2,Minimalist,Suburban,1.0,4.0,3,Low,2239,6954,5115,33726,20,16,Positive,Scarce,4,2,2,Yes,135774.0
11,,Female,46855.0,10,5,Eclectic,Rural,9.0,17.0,1,High,7566,9103,3966,14901,17,5,Negative,Not available,3,5,2,Yes,139212.0
12,60.0,Other,86557.0,6,9,Minimalist,Rural,6.0,2.0,1,Low,5213,9433,7894,4907,19,2,Negative,Not available,4,4,5,No,79266.0
13,64.0,Female,11416.0,1,8,Modern,Suburban,,12.0,4,High,4006,3171,1248,34044,17,7,Neutral,Not available,1,2,5,Yes,
14,48.0,Other,77516.0,23,7,Minimalist,Urban,4.0,1.0,3,Low,8025,6887,7098,29604,7,10,Negative,Scarce,5,3,2,No,129737.0
15,27.0,Female,60915.0,14,1,Contemporary,Rural,3.0,12.0,4,Low,7558,7333,773,38869,1,5,Negative,Not available,2,1,3,No,
16,46.0,Male,23058.0,8,4,Eclectic,Urban,7.0,12.0,4,Medium,2184,3124,867,15537,20,15,Positive,Not available,1,3,4,Yes,34114.0
17,,Female,81637.0,19,7,Contemporary,Urban,3.0,12.0,1,Medium,19968,5999,3732,13501,14,12,Neutral,Not available,2,3,1,No,192287.0
18,48.0,Other,45718.0,14,7,Modern,Urban,2.0,19.0,1,High,15430,1014,4323,38371,17,10,Positive,Available,1,4,4,No,23580.0
19,54.0,Other,37602.0,10,6,Eclectic,Urban,10.0,17.0,3,Medium,9102,706,2558,47154,13,17,Neutral,Not available,1,2,1,Yes,14802.0
20,62.0,Female,79658.0,17,8,Traditional,Rural,8.0,11.0,4,Medium,14869,1447,7646,37821,2,11,Positive,Scarce,1,4,3,No,92857.0
21,26.0,Male,83112.0,9,6,Minimalist,Rural,4.0,13.0,2,Medium,8116,2328,5477,24196,14,8,Negative,Not available,3,2,2,No,106467.0
22,45.0,Male,63067.0,6,3,Contemporary,Urban,8.0,8.0,3,Medium,13937,7361,3444,7073,1,15,Negative,Scarce,4,4,3,Yes,107767.0
23,57.0,Female,32516.0,11,4,Modern,Urban,1.0,10.0,4,Medium,5383,6594,4610,11561,5,2,Neutral,Available,5,5,2,Yes,140747.0
24,36.0,Female,92969.0,7,3,Traditional,Suburban,5.0,8.0,3,High,19083,6845,5295,19101,7,17,Positive,Available,4,1,5,Yes,150130.0
25,46.0,Other,6089.0,17,1,Minimalist,Suburban,9.0,8.0,3,High,5507,2667,6197,46516,19,6,Positive,Not available,4,1,1,Yes,185073.0
26,49.0,Male,,1,5,Traditional,Suburban,1.0,9.0,3,Medium,15735,8479,2282,32426,14,13,Negative,Scarce,2,1,5,No,173591.0
27,51.0,Female,79663.0,22,1,Minimalist,Rural,4.0,7.0,2,Medium,17519,6426,1396,30341,14,8,Negative,Not available,3,5,2,No,151517.0
28,52.0,Male,15487.0,5,1,Eclectic,Suburban,6.0,14.0,2,High,3025,7032,6910,8313,15,11,Neutral,Not available,3,5,1,No,94450.0
29,40.0,Female,5155.0,9,2,Traditional,Rural,10.0,2.0,1,Low,5854,6156,5690,31773,5,15,Negative,Scarce,1,1,1,Yes,111039.0
30,39.0,Female,72494.0,18,4,Traditional,Rural,8.0,11.0,1,High,6367,6443,3870,29003,5,13,Neutral,Scarce,4,1,5,No,33695.0
31,27.0,Male,81229.0,21,6,Traditional,Rural,3.0,8.0,4,Low,3890,9293,6797,27420,21,18,Neutral,Scarce,5,2,1,Yes,100970.0
32,61.0,Female,43547.0,2,8,Eclectic,Rural,,13.0,3,Medium,4773,5939,5653,6714,2,18,Neutral,Scarce,2,2,2,No,187299.0
33,31.0,Female,33795.0,11,3,Modern,Suburban,7.0,15.0,4,Medium,16819,9403,3690,28139,18,17,Neutral,Scarce,3,3,2,Yes,35185.0
34,45.0,Other,60296.0,6,1,Minimalist,Urban,,3.0,1,High,2528,1703,7486,27098,9,13,Negative,Available,1,4,5,No,94692.0
35,33.0,Female,26447.0,8,3,Traditional,Urban,,,2,Medium,12820,7500,2972,43294,10,3,Neutral,Available,5,2,3,No,50908.0
36,63.0,Female,41598.0,4,3,Eclectic,Urban,8.0,15.0,1,Low,6049,7139,3946,14582,18,7,Negative,Available,4,2,2,Yes,179703.0
37,42.0,Female,46814.0,18,5,Modern,Suburban,8.0,2.0,4,Low,1848,8189,2719,44583,4,12,Neutral,Scarce,5,2,2,No,184065.0
38,28.0,Other,95751.0,11,4,Minimalist,Urban,9.0,19.0,1,High,11119,8013,4579,14760,8,4,Negative,Scarce,3,2,1,No,
39,49.0,Male,,5,4,Eclectic,Suburban,6.0,12.0,4,Low,11357,7126,3648,7255,18,11,Neutral,Scarce,2,5,1,No,
40,38.0,Other,92960.0,15,9,Minimalist,Suburban,6.0,4.0,4,High,17167,7886,973,17622,20,14,Negative,Not available,4,3,2,No,100886.0
41,33.0,Other,68278.0,18,7,Traditional,Suburban,2.0,3.0,4,High,13478,3631,3102,36983,17,18,Positive,Available,2,2,5,Yes,159850.0
42,50.0,Male,60077.0,2,4,Modern,Urban,3.0,,4,Low,3121,7634,7612,41309,16,7,Neutral,Available,5,4,3,No,159469.0
43,26.0,Other,76906.0,22,3,Eclectic,Urban,4.0,3.0,1,Low,13910,4230,6077,30715,18,5,Neutral,Not available,5,2,1,Yes,148409.0
44,44.0,Male,14528.0,11,6,Modern,Urban,4.0,15.0,4,Low,5681,3166,7548,37415,7,16,Positive,Not available,1,5,1,Yes,11011.0
45,52.0,Other,98812.0,13,3,Traditional,Rural,8.0,,4,Low,15755,1049,2669,22792,1,11,Positive,Available,4,1,3,Yes,122124.0
46,31.0,Male,55100.0,4,6,Modern,Suburban,1.0,2.0,3,Low,1472,5241,4830,43576,1,3,Neutral,Scarce,5,1,1,No,175927.0
47,32.0,Female,13179.0,22,9,Modern,Rural,10.0,12.0,4,Low,19171,1744,1366,23724,18,16,Negative,Available,3,3,5,Yes,80532.0
48,59.0,Other,53781.0,7,6,Contemporary,Suburban,4.0,5.0,1,Low,1113,4512,5732,4652,4,11,Neutral,Scarce,3,1,1,Yes,51845.0
49,38.0,Other,60267.0,11,4,Modern,Urban,4.0,17.0,4,Medium,14690,9537,6736,27297,23,10,Negative,Available,2,2,1,Yes,156118.0
50,41.0,Other,,22,5,Minimalist,Suburban,1.0,14.0,2,High,7473,6696,987,33422,20,2,Positive,Available,3,5,2,No,
51,,Other,28952.0,4,6,Eclectic,Suburban,,10.0,2,High,9530,5045,5283,15028,21,16,Negative,Not available,5,3,5,No,11618.0
52,64.0,Female,58798.0,15,3,Contemporary,Rural,5.0,3.0,4,Low,19669,6705,368,14803,20,17,Neutral,Not available,3,2,5,Yes,77435.0
53,28.0,Other,55939.0,1,8,Eclectic,Suburban,6.0,4.0,2,High,2196,7690,2403,7307,4,10,Positive,Scarce,4,1,2,Yes,167394.0
54,26.0,Female,34516.0,23,4,Eclectic,Urban,9.0,6.0,2,Low,17462,8735,7074,32325,6,18,Positive,Scarce,2,4,4,No,169869.0
55,30.0,Female,61526.0,3,8,Traditional,Suburban,9.0,16.0,1,Medium,7017,1158,7671,32574,3,12,Neutral,Available,4,2,3,Yes,
56,28.0,Female,15449.0,14,3,Traditional,Suburban,9.0,7.0,3,High,3652,7495,719,20262,6,8,Neutral,Not available,5,4,5,No,169251.0
57,53.0,Female,55290.0,6,7,Contemporary,Suburban,1.0,15.0,2,High,11832,6276,4298,2535,13,3,Positive,Scarce,5,4,4,Yes,123158.0
58,42.0,Male,91661.0,18,9,Traditional,Rural,9.0,11.0,2,Medium,6385,5793,7010,15932,23,3,Negative,Scarce,3,3,3,No,170145.0
59,50.0,Male,,1,4,Traditional,Suburban,8.0,,3,Medium,15708,2191,2897,16749,7,6,Negative,Scarce,1,5,5,No,83014.0
60,58.0,Other,27746.0,6,8,Traditional,Suburban,2.0,5.0,3,Medium,18211,8235,4638,9727,4,2,Negative,Available,1,1,1,No,
61,,Male,72990.0,6,3,Eclectic,Rural,1.0,13.0,2,High,15571,3630,7668,18332,1,3,Neutral,Scarce,5,1,5,Yes,116550.0
62,60.0,Male,63810.0,21,7,Contemporary,Rural,1.0,,4,High,12002,7544,7191,30534,6,17,Positive,Scarce,5,2,3,Yes,96965.0
63,38.0,Other,88297.0,16,3,Eclectic,Rural,,9.0,2,Medium,4385,5033,5893,11834,5,9,Negative,Not available,2,1,4,No,173435.0
64,55.0,Other,20223.0,5,7,Minimalist,Rural,9.0,17.0,4,Medium,2965,6047,6970,21325,13,4,Positive,Not available,5,3,1,No,120503.0
65,39.0,Other,77237.0,17,6,Eclectic,Urban,7.0,15.0,4,Medium,3427,1467,6075,10213,19,2,Negative,Not available,5,1,3,Yes,147769.0
66,,Male,7597.0,10,2,Minimalist,Urban,5.0,7.0,4,Medium,3841,1904,2424,49205,4,9,Positive,Available,2,2,3,No,151494.0
67,38.0,Male,70677.0,21,3,Modern,Suburban,2.0,,3,Medium,7563,9177,6404,2403,6,14,Neutral,Not available,4,1,5,Yes,43380.0
